FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.13929518,13929518,POINT (16.340099088175858 48.34996936803665),Korneuburg Laaer Straße/EKZ,Korneuburg Laaer Straße/EKZ,858,,3,https://anachb.vor.at?P=SQ&input=Korneuburg%20Laaer%20Straße/EKZ&start=1,
OEFFHALTESTOGD.13929519,13929519,POINT (16.339263586909237 48.34970666883782),Korneuburg Laaer Straße/EKZ,Korneuburg Laaer Straße/EKZ,858,,3,https://anachb.vor.at?P=SQ&input=Korneuburg%20Laaer%20Straße/EKZ&start=1,
OEFFHALTESTOGD.13929520,13929520,POINT (16.336429412134176 48.30627997006603),Klosterneuburg Strandbad,Klosterneuburg Strandbad,3,,2,https://anachb.vor.at?P=SQ&input=Klosterneuburg%20Strandbad&start=1,
OEFFHALTESTOGD.13929521,13929521,POINT (16.13731328438903 48.219866339493315),Gablitz Lessinggasse,Gablitz Lessinggasse,"447,448",,3,https://anachb.vor.at?P=SQ&input=Gablitz%20Lessinggasse&start=1,
OEFFHALTESTOGD.13929522,13929522,POINT (16.13696288599803 48.22242803963071),Gablitz Bertha-von-Suttner-Gasse,Gablitz Bertha-von-Suttner-Gasse,"447,448",,3,https://anachb.vor.at?P=SQ&input=Gablitz%20Bertha-von-Suttner-Gasse&start=1,
OEFFHALTESTOGD.13929523,13929523,POINT (16.608416896116864 48.359836773845196),Bockfließ Hauptstraße 94/101,Bockfließ Hauptstraße 94/101,"520,530,531",,3,https://anachb.vor.at?P=SQ&input=Bockfließ%20Hauptstraße%2094/101&start=1,
OEFFHALTESTOGD.13929524,13929524,POINT (16.608794195669518 48.35995017392442),Bockfließ Hauptstraße 94/101,Bockfließ Hauptstraße 94/101,"520,530,531",,3,https://anachb.vor.at?P=SQ&input=Bockfließ%20Hauptstraße%2094/101&start=1,
OEFFHALTESTOGD.13929525,13929525,POINT (16.42923891997649 48.38983343665151),Manhartsbrunn Pfösinger Straße,Manhartsbrunn Pfösinger Straße,501,,3,https://anachb.vor.at?P=SQ&input=Manhartsbrunn%20Pfösinger%20Straße&start=1,
OEFFHALTESTOGD.13929526,13929526,POINT (16.429391620096972 48.38994083700472),Manhartsbrunn Pfösinger Straße,Manhartsbrunn Pfösinger Straße,501,,3,https://anachb.vor.at?P=SQ&input=Manhartsbrunn%20Pfösinger%20Straße&start=1,
OEFFHALTESTOGD.13929527,13929527,POINT (16.304543582317212 48.08848968096423),Mödling Templergasse,Mödling Templergasse,"2,269,270",,3,https://anachb.vor.at?P=SQ&input=Mödling%20Templergasse&start=1,
